Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
77	1566-2-3	Kvernvatnet	77	1566-2-3	9.2772	62.8863	6.04	1486	6.39	0.28	0	0	0	0	3.2	96.8	4.6	0.5
78	1566-2-19	HOH 1078	78	1566-2-19	8.991	62.7477	2.08	1872	17.23	0.31	0	0	0	21.7	0	78.3	14.9	1.37
79	1622-1-5	Nedre Hanstj?rna	79	1622-1-5	9.7034	63.4465	2.65	1428	4.5	0.07	58.5	0	7.4	0	1.9	32.2	2.6	0.5
80	1622-2-4	Austvatnet	80	1622-2-4	9.7462	63.4122	13.94	1393	11.07	0.8	44.8	0	3.4	0	1.4	50.4	5.7	0.5
81	1640-2-18	Skebrosj?ane	81	1640-2-18	12.1626	62.4051	4.32	446	2.56	0.19	25.1	0	0	0	0	74.9	4.4	0.5
82	1718-1-3	Hyttvatnet	82	1718-1-3	10.5286	63.7478	0.26	1629	3.02	0.05	0	0	6.7	0	0	93.3	19.4	0.5
83	1736-3-4	Snaufjellvatnet	83	1736-3-4	13.1541	64.1917	6.55	1403	4.62	1.25	0	0	0	0	4.7	95.3	19.1	0.63
84	1738-3-9	Midtre Bl?jellvatnet	84	1738-3-9	13.54	64.1155	50.57	1083	5.89	1.13	0	0	2.2	0	4.1	93.7	2.2	0.5
85	1751-2-11	Gr?nlivatnet	85	1751-2-11	11.9993	64.8719	3.54	2223	11.9	0.41	16.7	0	1.9	0	2.8	78.6	11.6	0.62
86	1851-2-13	Trollvatnet	86	1851-2-13	15.608	68.3657	0.76	2150	15.65	0.22	48.1	0	0	0	0	51.9	28.8	2.1
87	09.02.1929	Storvatnet	87	09.02.1929	17.1666	69.4079	3.7	1873	10.92	0.19	22	0	0.2	0	2.9	74.9	5.1	0.5
